id,code,name,province,altitude,latitude,longitude,synop_code,created_at,updated_at
9,B275E,"SON BONET, AEROPUERTO",BALEARES,47,393621N,024224E,08302,2025-05-05 18:26:08.151855,2025-05-05 18:26:08.151855
10,B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,5,393339N,024412E,08306,2025-05-05 18:26:08.153367,2025-05-05 18:26:08.153367
31,B691,LA PUEBLA (SA CANOVA),BALEARES,40,394454N,030055E,"",2025-05-05 18:26:08.177895,2025-05-05 18:26:08.177895
32,B691Y,SA POBLA,BALEARES,32,394457N,030100E,08312,2025-05-05 18:26:08.178870,2025-05-05 18:26:08.178870
39,B893,"MENORCA, AEROPUERTO",BALEARES,91,395117N,041256E,08314,2025-05-05 18:26:08.186866,2025-05-05 18:26:08.186866
45,C018J,TAS,LAS PALMAS,376,285811N,134125W,"",2025-05-05 18:26:08.192591,2025-05-05 18:26:08.192591
46,C019V,YAIZA PLAYA BLANCA,LAS PALMAS,6,285132N,135006W,"",2025-05-05 18:26:08.193566,2025-05-05 18:26:08.193566
47,C029O,LANZAROTE AEROPUERTO,LAS PALMAS,14,285707N,133601W,60040,2025-05-05 18:26:08.194572,2025-05-05 18:26:08.194572
49,C048W,TINAJO,LAS PALMAS,275,290233N,134051W,"",2025-05-05 18:26:08.196875,2025-05-05 18:26:08.196875
50,C101A,ROQUE DE LOS MUCHACHOS,STA. CRUZ DE TENERIFE,2223,284521N,175343W,"",2025-05-05 18:26:08.197746,2025-05-05 18:26:08.197746
51,C117A,PUNTAGORDA,STA. CRUZ DE TENERIFE,684,284538N,175908W,"",2025-05-05 18:26:08.198638,2025-05-05 18:26:08.198638
52,C117Z,TIJARAFE,STA. CRUZ DE TENERIFE,733,284029N,175612W,"",2025-05-05 18:26:08.199465,2025-05-05 18:26:08.199465
53,C126A,EL PASO,STA. CRUZ DE TENERIFE,844,283914N,175111W,"",2025-05-05 18:26:08.200334,2025-05-05 18:26:08.200334
54,C129V,FUENCALIENTE,STA. CRUZ DE TENERIFE,19,282718N,175028W,"",2025-05-05 18:26:08.201156,2025-05-05 18:26:08.201156
55,C129Z,TAZACORTE,STA. CRUZ DE TENERIFE,62,283545N,175455W,60004,2025-05-05 18:26:08.202033,2025-05-05 18:26:08.202033
57,C148F,SAN ANDRS Y SAUCES,STA. CRUZ DE TENERIFE,362,284817N,174656W,"",2025-05-05 18:26:08.203757,2025-05-05 18:26:08.203757
59,C239N,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,1,281231N,140123W,"",2025-05-05 18:26:08.205618,2025-05-05 18:26:08.205618
60,C248E,ANTIGUA,LAS PALMAS,252,282501N,140109W,"",2025-05-05 18:26:08.206507,2025-05-05 18:26:08.206507
61,C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,25,282641N,135147W,60035,2025-05-05 18:26:08.207389,2025-05-05 18:26:08.207389
62,C258K,LA OLIVA,LAS PALMAS,217,283645N,135554W,"",2025-05-05 18:26:08.208197,2025-05-05 18:26:08.208197
63,C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",STA. CRUZ DE TENERIFE,1474,280625N,171457W,"",2025-05-05 18:26:08.209030,2025-05-05 18:26:08.209030
64,C316I,ARURE,STA. CRUZ DE TENERIFE,916,280742N,171854W,"",2025-05-05 18:26:08.209896,2025-05-05 18:26:08.209896
65,C317B,AGULO,STA. CRUZ DE TENERIFE,765,281044N,171247W,"",2025-05-05 18:26:08.210954,2025-05-05 18:26:08.210954
66,C319W,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,190,280315N,171823W,"",2025-05-05 18:26:08.212004,2025-05-05 18:26:08.212004
67,C328W,HERMIGUA,STA. CRUZ DE TENERIFE,252,280949N,171139W,"",2025-05-05 18:26:08.213081,2025-05-05 18:26:08.213081
68,C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,219,280154N,171239W,60007,2025-05-05 18:26:08.214262,2025-05-05 18:26:08.214262
69,C329Z,SAN SEBASTIN DE LA GOMERA,STA. CRUZ DE TENERIFE,15,280523N,170641W,60008,2025-05-05 18:26:08.215245,2025-05-05 18:26:08.215245
726,7080X,MORATALLA,MURCIA,955,381606N,015911W,"",2025-05-05 18:26:08.991870,2025-05-05 18:26:08.991870
56,C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,33,283759N,174518W,60005,2025-05-05 18:26:08.202888,2025-05-05 18:26:08.202888
48,C038N,HARÍA,LAS PALMAS,277,290837N,132921W,"",2025-05-05 18:26:08.195778,2025-05-05 18:26:08.195778
